# Renewables.ninja Weather (Point API) - 7.937, 98.353 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Jakarta, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Asia/Jakarta", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "7.9366015", "lon": "98.3529292", "date_from": "2025-01-01", "date_to": "2025-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "true", "var_snomas": "true", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2025-01-01 00:00,2025-01-01 07:00,25.706,0,0,0,1.169,139.933,273.458,0.728
2025-01-01 01:00,2025-01-01 08:00,26.229,0,0,0,1.168,364.096,580.324,0.724
2025-01-01 02:00,2025-01-01 09:00,26.838,0,0,0,1.166,565.720,842.285,0.733
2025-01-01 03:00,2025-01-01 10:00,27.319,0,0,0,1.164,717.151,1041.814,0.727
2025-01-01 04:00,2025-01-01 11:00,27.722,0,0,0,1.162,828.631,1165.078,0.729
2025-01-01 05:00,2025-01-01 12:00,28.050,0,0,0,1.160,883.325,1203.801,0.717
2025-01-01 06:00,2025-01-01 13:00,28.283,0,0,0,1.157,853.506,1155.325,0.708
2025-01-01 07:00,2025-01-01 14:00,28.426,0,0,0,1.156,727.071,1022.748,0.660
2025-01-01 08:00,2025-01-01 15:00,28.510,0,0,0,1.155,511.488,815.582,0.726
2025-01-01 09:00,2025-01-01 16:00,28.598,0,0,0,1.154,270.769,547.480,0.785
2025-01-01 10:00,2025-01-01 17:00,28.441,0,0,0,1.155,85.389,236.829,0.823
2025-01-01 11:00,2025-01-01 18:00,28.179,0,0,0,1.155,1.731,7.996,0.817
2025-01-01 12:00,2025-01-01 19:00,27.977,0,0,0,1.156,0,0,0.791
2025-01-01 13:00,2025-01-01 20:00,27.763,0,0,0,1.157,0,0,0.782
2025-01-01 14:00,2025-01-01 21:00,27.569,0,0,0,1.159,0,0,0.775
2025-01-01 15:00,2025-01-01 22:00,27.328,0,0,0,1.160,0,0,0.767
2025-01-01 16:00,2025-01-01 23:00,27.070,0,0,0,1.161,0,0,0.756
