StudentID,Gender,Faculty,EducationLevel,GPA,StudyHours,ExtraActHours,NumFriends,LifeSatisfaction,ExerciseFreq,PersonalExpense
STU001,Male,Science,Grade 5,1.952123343,18,8,13,3,0,7690
STU002,Female,Business,Grade 4,2.893387941,17,4,5,3,3,8862
STU003,Male,Education,Grade 6,2.840855389,10,1,5,3,5,8244
STU004,Male,Science,Grade 4,2.448371216,19,3,0,1,5,9522
STU005,Male,Engineering,Grade 4,3.451878811,12,4,19,5,0,4874
STU006,Female,Business,Grade 4,1.987345653,19,3,10,1,0,8456
STU007,Male,Education,Grade 4,3.418317874,13,5,3,2,1,7722
STU008,Male,Engineering,Grade 6,3.664619125,16,8,5,2,1,8684
STU009,Male,Engineering,Grade 6,2.895079131,12,7,1,4,6,9398
STU010,Female,Engineering,Grade 5,2.962830528,14,3,19,2,6,8148
STU011,Male,Engineering,Grade 4,3.483779618,17,8,4,2,5,7092
STU012,Male,Science,Grade 4,2.618172673,10,6,14,5,5,9664
STU013,Male,Science,Grade 5,3.330388238,19,5,7,2,4,9194
STU014,Male,Science,Grade 4,2.541092826,15,3,16,4,2,10016
STU015,Female,Education,Grade 5,2.391279047,13,6,9,3,1,7983
STU016,Male,Education,Grade 6,3.147995363,20,4,8,1,0,6949
STU017,Female,Education,Grade 5,2.986656509,10,6,1,1,2,11664
STU018,Female,Arts,Grade 4,2.139497844,11,5,10,1,2,6211
STU019,Female,Education,Grade 5,3.707655476,12,9,1,4,3,10109
STU020,Male,Science,Grade 6,2.792641481,14,5,15,5,3,10091
STU021,Female,Science,Grade 4,3.25533996,15,4,3,4,2,9305
STU022,Male,Arts,Grade 6,3.802591626,21,4,16,1,1,7883
STU023,Female,Arts,Grade 6,3.123802188,10,7,8,4,4,8407
STU024,Female,Education,Grade 5,3.636646033,16,5,11,4,1,6826
STU025,Female,Business,Grade 6,2.568472977,11,5,4,4,1,4978
STU026,Female,Arts,Grade 4,3.710492677,12,2,2,3,4,7312
STU027,Female,Engineering,Grade 6,2.587067752,25,7,5,4,3,7769
STU028,Female,Science,Grade 6,2.714429256,13,2,6,5,2,5770
STU029,Female,Engineering,Grade 5,2.272667295,12,7,3,3,2,5971
STU030,Female,Science,Grade 6,3.134212277,17,3,13,4,3,6593
STU031,Male,Science,Grade 5,3.315463757,20,6,13,2,2,8133
STU032,Male,Arts,Grade 5,3.383404193,17,7,1,1,6,9503
STU033,Female,Arts,Grade 4,2.28420687,11,4,14,3,4,8204
STU034,Female,Engineering,Grade 4,3.187488123,13,6,11,2,3,12368
STU035,Female,Science,Grade 4,3.205991184,14,3,13,1,4,7561
STU036,Male,Engineering,Grade 4,3.307385855,18,6,9,5,2,8028
STU037,Female,Business,Grade 5,2.613635607,17,6,2,2,3,10642
STU038,Male,Engineering,Grade 6,1.747348135,13,7,1,5,6,7241
STU039,Male,Education,Grade 4,3.353239452,18,7,1,5,2,7631
STU040,Male,Engineering,Grade 4,2.927085183,17,8,10,2,3,7821
STU041,Male,Education,Grade 4,3.140120553,17,4,11,2,1,9677
STU042,Male,Education,Grade 6,2.952696482,14,3,14,3,4,8454
STU043,Female,Education,Grade 4,3.117251124,16,6,11,5,2,7785
STU044,Female,Business,Grade 6,3.368559647,13,3,10,2,5,8851
STU045,Female,Engineering,Grade 5,2.071489145,22,6,19,5,4,6422
STU046,Female,Engineering,Grade 5,3.570510138,18,4,19,4,3,9309
STU047,Female,Business,Grade 5,2.908928752,15,5,13,4,0,10392
STU048,Male,Science,Grade 6,3.813537134,16,4,4,4,1,10408
STU049,Female,Arts,Grade 4,2.770272292,21,6,18,5,3,7131
STU050,Female,Engineering,Grade 4,2.659201094,17,6,16,5,5,4527
STU051,Male,Arts,Grade 4,2.925830296,17,10,14,2,1,11570
STU052,Female,Business,Grade 4,3.24999352,17,5,19,2,3,6033
STU053,Male,Science,Grade 4,2.862823724,19,3,16,3,3,8110
STU054,Female,Science,Grade 6,3.286256644,18,7,11,3,4,8751
STU055,Male,Science,Grade 5,2.806437047,21,3,7,3,2,3970
STU056,Female,Business,Grade 4,3.017446109,12,4,14,1,7,9103
STU057,Female,Education,Grade 5,4,17,4,1,4,1,9781
STU058,Male,Education,Grade 6,3.178633432,17,3,16,5,3,8915
STU059,Male,Arts,Grade 6,3.218748113,20,10,9,4,4,7534
STU060,Male,Education,Grade 4,2.263715006,9,5,17,5,3,7277
STU061,Male,Education,Grade 6,3.677143762,14,7,11,1,4,6440
STU062,Male,Science,Grade 5,3.533232543,13,7,0,5,3,8348
STU063,Male,Science,Grade 4,2.642775445,17,5,3,3,3,7420
STU064,Male,Arts,Grade 4,3.523362967,19,4,4,4,1,3694
STU065,Male,Engineering,Grade 5,3.164900614,13,6,2,4,5,8242
STU066,Female,Arts,Grade 4,3.023207949,14,4,0,4,3,10783
STU067,Female,Arts,Grade 4,3.645477823,17,3,6,1,4,5944
STU068,Male,Business,Grade 5,2.743850713,12,5,19,4,2,7301
STU069,Female,Business,Grade 4,2.638822472,22,5,11,2,4,8174
STU070,Female,Arts,Grade 4,3.10378166,16,3,5,3,0,5128
STU071,Female,Arts,Grade 5,3.264114407,13,5,19,3,3,7162
STU072,Female,Arts,Grade 6,3.483157943,14,4,16,5,2,10528
STU073,Male,Education,Grade 5,2.924523524,18,8,10,1,4,6830
STU074,Female,Business,Grade 4,2.575114442,17,1,7,5,6,5369
STU075,Male,Arts,Grade 5,4,21,4,10,5,5,8093
STU076,Female,Science,Grade 4,2.456702719,13,4,12,3,1,6647
STU077,Female,Science,Grade 4,3.027559062,14,4,8,2,2,9560
STU078,Female,Education,Grade 5,3.389852762,9,7,18,1,2,10020
STU079,Male,Education,Grade 4,3.575561308,19,2,19,1,1,5003
STU080,Female,Engineering,Grade 6,2.716419911,13,1,4,1,3,11962
STU081,Male,Engineering,Grade 4,2.062541153,23,5,9,2,8,6210
STU082,Female,Engineering,Grade 5,2.704867413,20,7,12,1,3,6746
STU083,Male,Education,Grade 6,3.430661255,11,4,4,4,2,7385
STU084,Female,Education,Grade 6,3.318748241,13,7,2,2,2,9717
STU085,Male,Education,Grade 4,3.335061179,23,11,16,5,4,11529
STU086,Male,Science,Grade 5,3.355832043,14,3,9,4,2,7141
STU087,Female,Education,Grade 4,3.670042116,12,4,16,5,2,9102
STU088,Male,Science,Grade 4,2.612055777,10,3,5,1,3,10514
STU089,Female,Engineering,Grade 5,2.401051002,10,5,13,2,6,6635
STU090,Female,Engineering,Grade 5,3.185240123,18,3,8,4,4,7748
STU091,Female,Engineering,Grade 4,2.475737655,12,9,4,2,4,10146
STU092,Female,Arts,Grade 6,2.369542325,17,6,19,2,1,8692
STU093,Female,Arts,Grade 4,3.611979955,15,6,7,2,6,7736
STU094,Female,Business,Grade 6,3.125179909,14,6,15,5,2,7184
STU095,Female,Business,Grade 4,3.014246575,17,9,6,2,3,8516
STU096,Female,Business,Grade 5,3.024636998,13,6,1,1,4,4763
STU097,Female,Arts,Grade 6,2.946930495,20,10,8,4,4,7582
STU098,Female,Arts,Grade 5,3.608620323,13,8,9,3,3,8307
STU099,Female,Business,Grade 5,2.242692047,16,3,18,2,1,8511
STU100,Male,Business,Grade 5,2.221988209,12,7,3,4,5,8750
STU101,Male,Education,Grade 5,2.531809241,16,0,12,5,1,7111
STU102,Female,Business,Grade 5,3.144580824,15,2,1,5,5,8407
STU103,Female,Education,Grade 4,3.90267187,24,3,18,2,2,6471
STU104,Female,Science,Grade 6,3.434541996,14,6,5,2,3,8940
STU105,Female,Arts,Grade 4,3.296221357,23,5,15,1,2,7155
STU106,Female,Business,Grade 4,2.960066534,14,6,14,3,4,11294
STU107,Female,Arts,Grade 4,2.333735043,21,3,13,2,3,8416
STU108,Female,Arts,Grade 5,3.257494912,20,6,12,2,3,5867
STU109,Female,Arts,Grade 4,4,14,4,16,1,3,6711
STU110,Male,Science,Grade 6,2.879971172,11,5,17,5,2,10018
STU111,Female,Engineering,Grade 4,2.719663318,8,7,19,3,1,6168
STU112,Male,Business,Grade 5,2.882378402,20,8,0,5,4,3990
