trAnsaCtion_id,STOre_id,CAShiEr_id,transaction_time,item_count,payment_method,uSeD_cOupon,stOre_reGIOn,totAL_aMOunT
TX000000,S002,C022,2025-03-04 20:00:00,5,Credit,False,North,197.11
TX000001,S002,C004,2025-04-01 14:00:00,6,Credit,True,East,273.75
TX000002,S001,C004,2025-02-10 16:00:00,14,Points,False,South,837.72
TX000003,S002,C021,2025-03-18 20:00:00,7,Credit,False,North,138.09
TX000004,S002,C014,2025-03-05 04:00:00,5,Cash,False,East,152.76
TX000005,S003,C005,2025-03-02 06:00:00,13,Credit,True,West,255.25
TX000006,S003,C016,2025-04-23 16:00:00,11,Points,True,South,583.34
TX000007,S004,C014,2025-02-26 00:00:00,14,Cash,True,West,151.89
TX000008,S001,C030,2025-04-16 12:00:00,2,Cash,False,East,33.52
TX000009,S002,C014,2024-12-11 02:00:00,14,QR,False,North,313.51
TX000010,S001,C014,2025-01-08 20:00:00,2,QR,False,East,97.13
TX000011,S005,C025,2025-03-14 04:00:00,13,Credit,False,South,538.5
TX000012,S002,C024,2024-12-28 12:00:00,4,Points,True,North,117.72
TX000013,S001,C025,2025-04-03 12:00:00,1,Cash,True,South,17.94
TX000014,S004,C029,2024-12-08 06:00:00,7,Credit,False,West,182.56
TX000015,S004,C014,2025-03-27 08:00:00,13,Credit,True,North,613.22
TX000016,S002,C019,2025-03-04 14:00:00,1,QR,False,East,29.1
TX000017,S005,C030,2025-02-11 14:00:00,3,Credit,False,West,99.39
TX000018,S004,C003,2025-04-20 14:00:00,10,Credit,True,West,404.31
TX000019,S004,C017,2024-12-11 20:00:00,7,QR,True,East,389.51
TX000020,S005,C014,2025-04-20 10:00:00,11,Credit,True,West,247.56
TX000021,S001,C010,2025-03-22 00:00:00,12,Credit,False,South,388.8
TX000022,S004,C013,2025-02-03 02:00:00,12,Cash,False,East,306.19
TX000023,S003,C022,2024-12-29 14:00:00,6,Credit,False,West,199.86
TX000024,S004,C004,2025-04-06 06:00:00,7,QR,True,North,313.76
TX000025,S001,C011,2025-03-30 18:00:00,5,QR,True,East,170.52
TX000026,S001,C015,2025-02-06 02:00:00,8,Cash,True,East,413.81
TX000027,S002,C015,2025-01-02 02:00:00,6,QR,True,West,225.98
TX000028,S003,C030,2025-03-12 06:00:00,12,QR,True,East,351.46
TX000029,S001,C024,2025-02-18 14:00:00,4,QR,True,East,196.46
TX000030,S005,C002,2024-12-24 00:00:00,14,Credit,True,East,441.93
TX000031,S003,C011,2025-03-09 16:00:00,11,Cash,False,East,393.55
TX000032,S003,C002,2025-01-08 06:00:00,1,Points,True,East,59.73
TX000033,S005,C023,2025-03-22 10:00:00,2,Cash,True,East,98.64
TX000034,S004,C029,2024-12-02 18:00:00,12,Cash,False,South,633.09
TX000035,S005,C005,2024-12-22 00:00:00,6,Cash,False,West,237.86
TX000036,S005,C013,2025-02-01 06:00:00,4,Points,True,South,109.64
TX000037,S004,C001,2025-02-10 08:00:00,3,Points,False,West,178.69
TX000038,S004,C007,2025-04-12 00:00:00,7,QR,True,East,155.41
TX000039,S004,C007,2025-01-09 12:00:00,7,Credit,True,West,375.49
TX000040,S004,C010,2025-03-01 04:00:00,2,QR,True,South,111.13
TX000041,S004,C006,2025-01-12 12:00:00,8,QR,False,West,407.02
TX000042,S005,C020,2025-04-22 02:00:00,11,Points,False,East,172.75
TX000043,S002,C012,2025-04-04 22:00:00,1,QR,True,East,52.71
TX000044,S002,C013,2025-01-28 06:00:00,11,QR,False,East,475.08
TX000045,S001,C024,2025-02-20 06:00:00,10,Points,True,South,440.41
TX000046,S002,C028,2024-12-16 18:00:00,7,Cash,True,North,345.29
TX000047,S002,C011,2025-02-18 18:00:00,10,Cash,False,East,345.27
TX000048,S005,C018,2025-01-27 04:00:00,12,Points,False,East,280.29
TX000049,S004,C002,2025-02-18 18:00:00,1,Credit,False,West,38.75
TX000050,S004,C016,2025-01-16 20:00:00,13,QR,True,North,200.64
TX000051,S005,C002,2025-04-12 12:00:00,12,Cash,False,West,524.88
TX000052,S002,C019,2025-03-16 14:00:00,14,Points,False,South,478.06
TX000053,S005,C006,2025-02-08 06:00:00,3,Credit,False,North,105.35
TX000054,S001,C001,2025-04-07 08:00:00,3,QR,True,East,57.87
TX000055,S004,C011,2025-03-07 04:00:00,10,Points,True,North,120.64
TX000056,S003,C018,2025-04-05 16:00:00,14,Points,True,East,567.89
TX000057,S001,C010,2025-01-23 20:00:00,2,Points,True,South,85.88
TX000058,S001,C018,2024-12-02 16:00:00,14,QR,True,West,488.8
TX000059,S005,C030,2025-02-09 00:00:00,10,Cash,False,South,482.87
TX000060,S002,C028,2024-12-14 20:00:00,13,QR,False,South,496.42
TX000061,S004,C001,2025-03-19 02:00:00,5,QR,True,East,262.05
TX000062,S003,C019,2025-01-02 06:00:00,4,Cash,False,West,97.62
TX000063,S001,C016,2025-01-20 00:00:00,13,Points,True,South,288.02
TX000064,S003,C026,2024-12-27 06:00:00,6,Credit,True,North,138.34
TX000065,S002,C007,2024-12-02 02:00:00,2,Credit,True,South,23.05
TX000066,S002,C015,2024-12-21 02:00:00,14,Cash,True,East,770.44
TX000067,S003,C029,2025-02-03 16:00:00,4,Cash,True,North,239.84
TX000068,S004,C001,2025-03-25 02:00:00,12,Points,True,North,609.91
TX000069,S002,C023,2025-01-17 00:00:00,7,Credit,False,West,214.41
TX000070,S003,C021,2025-02-13 18:00:00,1,Credit,False,North,27.7
TX000071,S001,C009,2025-03-24 14:00:00,13,Points,False,North,633.54
TX000072,S003,C002,2024-12-08 14:00:00,11,Cash,False,East,390.47
TX000073,S003,C017,2025-03-26 20:00:00,3,Cash,False,West,170.92
TX000074,S005,C025,2025-02-18 14:00:00,1,Points,False,South,23.98
TX000075,S002,C024,2025-04-03 04:00:00,2,Cash,True,North,52.38
TX000076,S004,C010,2025-03-31 22:00:00,9,QR,True,South,539.47
TX000077,S004,C006,2025-01-12 08:00:00,10,Cash,True,South,589.09
TX000078,S005,C005,2025-02-03 14:00:00,5,QR,True,South,271.3
TX000079,S004,C008,2024-12-03 20:00:00,13,Credit,False,West,393.01
TX000080,S003,C008,2024-12-18 02:00:00,4,Credit,True,South,207.52
TX000081,S005,C030,2025-03-03 00:00:00,12,Cash,False,East,290.04
TX000082,S001,C005,2025-04-12 02:00:00,4,Points,False,West,90.95
TX000083,S002,C012,2025-03-28 14:00:00,8,Cash,False,West,298.58
TX000084,S002,C007,2025-02-24 10:00:00,12,Points,False,West,636.16
TX000085,S002,C013,2025-02-24 02:00:00,3,Credit,False,West,44.62
TX000086,S003,C013,2025-03-28 18:00:00,12,Credit,False,North,459.18
TX000087,S001,C017,2025-01-17 02:00:00,12,Credit,True,North,485.84
TX000088,S005,C004,2025-03-05 02:00:00,4,Points,True,South,155.96
TX000089,S005,C018,2025-04-29 14:00:00,2,Points,True,North,41.85
TX000090,S002,C010,2025-04-05 00:00:00,6,Credit,True,West,79.24
TX000091,S001,C003,2025-01-28 12:00:00,12,Cash,True,South,657.0
TX000092,S001,C012,2025-01-03 10:00:00,9,Points,True,East,348.53
TX000093,S001,C001,2025-01-30 18:00:00,12,QR,True,North,580.74
TX000094,S004,C027,2025-04-11 14:00:00,4,Credit,False,West,112.89
TX000095,S004,C011,2024-12-14 10:00:00,11,Points,False,South,133.38
TX000096,S002,C018,2024-12-17 18:00:00,6,Credit,True,North,137.87
TX000097,S001,C013,2025-02-21 22:00:00,4,QR,True,West,54.67
TX000098,S001,C017,2024-12-23 10:00:00,14,Cash,False,South,194.77
TX000099,S005,C008,2025-02-06 22:00:00,2,QR,True,North,41.45
TX000100,S005,C020,2025-03-18 20:00:00,13,Cash,False,East,541.83
TX000101,S002,C019,2025-01-07 22:00:00,14,Cash,True,North,712.44
TX000102,S001,C017,2025-04-03 18:00:00,6,Points,False,West,306.41
TX000103,S002,C002,2025-04-25 20:00:00,12,Cash,False,West,682.65
TX000104,S005,C003,2025-03-17 06:00:00,7,Cash,True,East,299.73
TX000105,S005,C003,2025-02-23 16:00:00,4,Cash,True,East,43.97
TX000106,S004,C006,2025-04-23 18:00:00,12,Credit,False,South,346.44
TX000107,S002,C010,2024-12-25 14:00:00,11,Points,True,South,171.3
TX000108,S002,C024,2025-04-25 16:00:00,7,Points,True,West,342.11
TX000109,S001,C022,2025-01-29 22:00:00,13,Cash,False,North,207.8
TX000110,S001,C018,2025-04-27 16:00:00,11,Credit,False,East,168.26
TX000111,S004,C018,2024-12-29 02:00:00,8,Cash,True,South,91.28
TX000112,S003,C014,2025-02-12 04:00:00,11,Points,True,West,635.53
TX000113,S003,C016,2025-02-28 16:00:00,3,Points,False,West,147.86
TX000114,S003,C007,2025-02-04 22:00:00,2,Points,False,West,53.33
TX000115,S002,C001,2024-12-19 00:00:00,5,Points,False,East,144.11
TX000116,S002,C017,2025-02-02 14:00:00,2,Credit,True,East,25.94
TX000117,S005,C023,2024-12-16 14:00:00,10,QR,False,East,178.96
TX000118,S002,C025,2025-01-01 14:00:00,5,QR,True,North,127.86
TX000119,S002,C005,2025-01-11 00:00:00,10,Credit,False,East,293.93
TX000120,S002,C027,2025-02-27 16:00:00,13,Cash,True,West,532.98
TX000121,S004,C001,2025-03-09 08:00:00,6,Points,True,East,165.1
TX000122,S002,C021,2024-12-02 04:00:00,8,Points,False,North,461.84
TX000123,S001,C027,2024-12-06 08:00:00,6,Points,True,North,162.84
TX000124,S001,C017,2025-01-13 08:00:00,4,Credit,False,West,228.32
TX000125,S005,C010,2025-03-24 22:00:00,3,Credit,True,South,139.48
TX000126,S004,C012,2025-03-07 00:00:00,14,Points,True,East,769.93
TX000127,S001,C025,2025-01-23 22:00:00,14,Points,True,East,632.21
TX000128,S004,C020,2025-04-04 14:00:00,2,Cash,False,North,76.86
TX000129,S004,C025,2025-03-01 12:00:00,13,QR,False,North,460.9
TX000130,S005,C002,2025-03-07 20:00:00,1,Credit,True,South,24.57
TX000131,S004,C023,2025-04-06 20:00:00,2,QR,False,North,49.82
TX000132,S002,C016,2025-01-19 08:00:00,2,Points,True,North,42.32
TX000133,S004,C015,2025-01-02 14:00:00,5,QR,False,North,146.39
TX000134,S005,C028,2025-04-21 12:00:00,9,QR,False,North,147.14
TX000135,S005,C013,2025-01-04 20:00:00,1,Credit,True,South,29.38
TX000136,S005,C018,2024-12-25 00:00:00,4,Credit,True,East,206.75
TX000137,S001,C028,2025-01-01 12:00:00,10,Cash,True,East,535.15
TX000138,S002,C020,2025-04-29 16:00:00,7,Points,False,East,294.99
TX000139,S001,C022,2025-04-06 02:00:00,11,Cash,True,East,251.25
TX000140,S003,C014,2024-12-20 04:00:00,14,Credit,True,East,308.24
TX000141,S002,C018,2025-02-23 18:00:00,10,Cash,False,West,238.96
TX000142,S004,C002,2024-12-04 08:00:00,3,QR,False,West,105.01
TX000143,S005,C002,2025-02-26 14:00:00,8,QR,True,North,470.58
TX000144,S003,C003,2024-12-12 04:00:00,3,Credit,True,West,46.38
TX000145,S002,C005,2024-12-17 16:00:00,8,QR,False,East,280.2
TX000146,S001,C025,2025-02-03 22:00:00,13,Points,False,North,573.46
TX000147,S005,C016,2025-02-16 10:00:00,2,Credit,False,East,44.57
TX000148,S001,C022,2025-02-27 00:00:00,5,Points,False,East,292.28
TX000149,S002,C015,2025-02-28 06:00:00,4,Credit,True,North,109.8
TX000150,S002,C012,2025-01-11 20:00:00,11,Credit,True,East,622.8
TX000151,S003,C030,2025-01-03 20:00:00,9,QR,False,West,358.81
TX000152,S004,C009,2025-04-13 02:00:00,3,Credit,True,North,30.61
TX000153,S001,C026,2025-04-25 22:00:00,12,Credit,True,South,306.67
TX000154,S003,C014,2025-02-06 00:00:00,11,Cash,True,South,121.85
TX000155,S005,C029,2024-12-09 04:00:00,5,QR,False,South,145.37
TX000156,S004,C021,2025-01-26 22:00:00,10,Points,True,East,566.27
TX000157,S003,C016,2025-01-30 10:00:00,9,Credit,False,East,440.56
TX000158,S001,C011,2025-04-10 20:00:00,13,Points,True,East,533.09
TX000159,S002,C006,2025-02-19 00:00:00,6,Cash,False,East,221.57
TX000160,S005,C010,2025-04-26 20:00:00,2,Credit,False,North,57.26
TX000161,S001,C028,2025-01-21 00:00:00,1,Points,False,South,20.58
TX000162,S004,C008,2025-04-03 18:00:00,12,QR,True,West,157.51
TX000163,S004,C016,2025-01-23 12:00:00,11,Cash,True,North,214.58
TX000164,S002,C003,2025-04-29 08:00:00,1,Cash,True,South,27.58
TX000165,S002,C002,2025-02-24 16:00:00,7,Points,True,South,252.0
TX000166,S005,C016,2025-03-14 10:00:00,14,Credit,True,North,283.08
TX000167,S005,C019,2025-01-11 20:00:00,12,Credit,False,North,704.6
TX000168,S002,C030,2025-02-02 20:00:00,2,QR,True,North,27.69
TX000169,S002,C009,2025-01-03 02:00:00,7,QR,True,West,103.18
TX000170,S004,C016,2025-02-11 12:00:00,1,Credit,True,South,44.13
TX000171,S002,C022,2025-02-05 04:00:00,4,Cash,True,West,191.01
TX000172,S003,C026,2025-01-02 16:00:00,10,QR,False,West,586.23
TX000173,S001,C028,2024-12-18 04:00:00,13,QR,False,West,474.79
TX000174,S002,C004,2025-02-25 12:00:00,11,Cash,False,West,201.26
TX000175,S005,C010,2025-04-11 10:00:00,4,Credit,False,West,227.59
TX000176,S003,C019,2025-02-13 06:00:00,5,Points,True,North,295.06
TX000177,S005,C013,2025-04-03 16:00:00,14,QR,False,West,786.46
TX000178,S003,C018,2025-04-22 20:00:00,14,Cash,True,East,750.16
TX000179,S002,C015,2025-04-13 04:00:00,10,QR,False,North,138.79
TX000180,S001,C030,2025-02-10 22:00:00,1,Cash,False,South,52.74
TX000181,S005,C004,2025-01-31 20:00:00,7,QR,True,South,403.63
TX000182,S003,C009,2025-03-16 08:00:00,11,Credit,True,North,413.77
TX000183,S004,C004,2025-01-16 22:00:00,2,Cash,False,West,97.26
TX000184,S002,C029,2025-02-24 00:00:00,12,Points,True,North,516.54
TX000185,S001,C016,2024-12-08 22:00:00,11,Points,True,South,268.43
TX000186,S002,C028,2025-04-26 10:00:00,13,QR,True,South,511.89
TX000187,S004,C021,2025-01-10 08:00:00,11,Points,False,North,599.16
TX000188,S001,C015,2025-03-30 04:00:00,13,QR,False,East,452.65
TX000189,S004,C024,2024-12-20 04:00:00,2,Cash,False,East,79.01
TX000190,S002,C002,2025-02-01 08:00:00,8,Cash,False,East,292.59
TX000191,S003,C028,2025-04-19 20:00:00,9,Points,True,South,217.08
TX000192,S002,C027,2025-03-10 12:00:00,6,Points,True,East,253.1
TX000193,S002,C014,2025-01-15 00:00:00,11,Credit,True,East,390.21
TX000194,S002,C003,2025-02-27 06:00:00,1,Cash,True,North,21.63
TX000195,S005,C022,2025-01-13 16:00:00,1,Points,False,West,54.77
TX000196,S004,C028,2025-03-09 14:00:00,14,Points,True,West,805.03
TX000197,S004,C023,2025-04-23 12:00:00,11,Points,False,North,140.45
TX000198,S004,C004,2025-03-16 12:00:00,7,QR,False,West,287.82
TX000199,S005,C030,2025-03-03 10:00:00,8,Credit,False,East,246.02
TX000200,S003,C001,2025-01-18 02:00:00,3,Cash,True,South,108.89
TX000201,S002,C023,2025-01-26 18:00:00,9,Points,True,East,258.22
TX000202,S003,C028,2025-01-16 08:00:00,4,Points,False,North,134.87
TX000203,S005,C009,2025-04-13 02:00:00,4,Points,False,West,104.69
TX000204,S004,C017,2025-02-23 08:00:00,3,QR,True,North,47.64
TX000205,S002,C014,2025-01-23 18:00:00,8,Cash,False,North,200.81
TX000206,S001,C017,2025-02-05 06:00:00,9,Points,True,East,391.65
TX000207,S001,C001,2025-02-26 14:00:00,1,Points,False,West,12.52
TX000208,S003,C010,2025-04-16 22:00:00,2,QR,False,South,58.27
TX000209,S004,C023,2025-04-11 14:00:00,1,QR,True,East,12.11
TX000210,S001,C016,2025-03-24 14:00:00,14,Credit,True,North,389.39
TX000211,S003,C027,2025-03-23 20:00:00,4,Credit,False,North,57.52
TX000212,S005,C025,2025-04-18 14:00:00,10,Cash,False,West,269.82
TX000213,S003,C019,2025-04-07 10:00:00,7,Credit,True,North,363.33
TX000214,S003,C024,2025-03-25 06:00:00,14,Cash,False,North,569.39
TX000215,S003,C025,2025-04-04 16:00:00,7,Credit,False,East,308.8
TX000216,S002,C003,2025-03-15 12:00:00,12,Points,False,West,422.28
TX000217,S003,C028,2024-12-16 18:00:00,6,Credit,False,East,336.71
TX000218,S003,C012,2025-03-15 00:00:00,13,Points,False,South,481.75
TX000219,S002,C003,2025-03-28 08:00:00,11,Cash,False,North,167.36
TX000220,S002,C015,2025-03-27 16:00:00,5,Credit,True,East,283.28
TX000221,S005,C017,2025-03-19 20:00:00,11,Credit,False,East,183.18
TX000222,S004,C018,2025-01-22 16:00:00,4,Credit,True,West,239.83
TX000223,S001,C007,2025-01-22 06:00:00,12,Points,False,North,381.23
TX000224,S001,C019,2025-02-20 00:00:00,13,Points,False,East,177.77
TX000225,S003,C007,2025-04-27 08:00:00,14,Credit,True,North,744.87
TX000226,S005,C005,2025-03-17 20:00:00,8,Cash,True,South,117.15
TX000227,S003,C026,2025-03-26 04:00:00,7,Points,True,North,131.05
TX000228,S001,C008,2025-01-29 02:00:00,11,QR,True,North,339.54
TX000229,S002,C021,2025-04-03 06:00:00,11,Cash,True,East,481.9
TX000230,S004,C016,2025-03-30 12:00:00,10,Cash,False,West,160.57
TX000231,S005,C016,2025-01-24 00:00:00,1,Cash,True,West,41.13
TX000232,S002,C019,2024-12-27 10:00:00,6,Points,True,West,294.12
TX000233,S004,C025,2025-04-21 16:00:00,14,Credit,True,South,226.45
TX000234,S005,C015,2025-03-15 00:00:00,2,Credit,False,South,84.76
TX000235,S005,C007,2025-03-15 18:00:00,4,QR,False,East,231.78
TX000236,S001,C005,2025-01-26 22:00:00,5,Credit,False,West,291.85
TX000237,S002,C023,2025-01-25 06:00:00,8,QR,True,South,144.67
TX000238,S005,C011,2025-03-27 10:00:00,6,QR,False,West,287.91
TX000239,S005,C010,2025-04-21 06:00:00,11,Credit,False,West,575.65
TX000240,S004,C025,2025-04-15 22:00:00,2,QR,False,South,108.9
TX000241,S001,C021,2025-04-04 14:00:00,5,Cash,False,West,130.92
TX000242,S003,C023,2025-03-15 16:00:00,5,Cash,True,North,117.53
TX000243,S001,C027,2025-04-22 22:00:00,6,Cash,True,East,74.36
TX000244,S003,C009,2025-03-05 16:00:00,1,Points,True,South,29.97
TX000245,S002,C001,2025-04-06 16:00:00,8,QR,True,South,129.58
TX000246,S002,C020,2025-01-06 18:00:00,3,QR,True,West,147.94
TX000247,S005,C001,2025-01-16 22:00:00,5,Cash,True,South,85.74
TX000248,S002,C008,2025-03-18 14:00:00,7,Points,True,North,356.62
TX000249,S005,C003,2025-04-07 18:00:00,3,Credit,True,West,46.14
TX000250,S001,C002,2025-03-28 10:00:00,14,Cash,False,North,476.43
TX000251,S002,C030,2025-03-28 12:00:00,10,Points,False,East,292.32
TX000252,S001,C004,2025-03-05 16:00:00,13,Credit,True,East,521.0
TX000253,S001,C027,2025-04-16 08:00:00,6,Points,True,North,215.63
TX000254,S002,C019,2025-04-17 08:00:00,5,Credit,False,West,199.66
TX000255,S001,C011,2025-02-18 06:00:00,7,QR,False,East,70.34
TX000256,S002,C005,2025-03-03 00:00:00,10,QR,False,West,163.75
TX000257,S002,C029,2025-01-28 04:00:00,11,Points,True,West,394.42
TX000258,S002,C024,2024-12-10 08:00:00,3,Points,False,East,64.45
TX000259,S003,C010,2024-12-01 02:00:00,13,Credit,True,East,179.61
TX000260,S001,C024,2025-01-23 10:00:00,14,Points,False,North,292.39
TX000261,S004,C027,2024-12-19 06:00:00,2,Points,False,West,97.99
TX000262,S002,C023,2025-04-12 10:00:00,4,Credit,True,North,148.34
TX000263,S001,C008,2025-02-10 04:00:00,3,Credit,False,South,58.51
TX000264,S005,C013,2025-04-26 14:00:00,4,QR,True,South,43.2
TX000265,S002,C029,2025-03-15 00:00:00,7,Cash,False,South,195.16
TX000266,S002,C005,2025-01-02 00:00:00,5,Points,True,South,139.37
TX000267,S004,C026,2025-03-29 20:00:00,4,Credit,True,East,187.03
TX000268,S003,C026,2025-04-18 10:00:00,14,QR,True,East,783.61
TX000269,S003,C027,2025-03-07 02:00:00,6,Cash,False,North,171.6
TX000270,S002,C012,2025-02-28 16:00:00,7,Points,True,East,310.85
TX000271,S001,C027,2025-04-22 06:00:00,12,QR,False,East,500.94
TX000272,S005,C013,2025-01-30 18:00:00,14,Cash,False,East,435.46
TX000273,S005,C022,2025-04-21 06:00:00,11,Points,True,South,146.24
