order_id,order_date, Customer ID ,product_category,product_price,quantity,total_price
10001,2024-07-24,C0152,Beauty,676.0,1,676
10002,2024-08-23,ID_203,Home,9697.0,2,19394
10003,2024-08-02,ID_095,Clothing,8284.0,1,8284
10004,24/06/2024,C0075,Clothing,5141.0,1,5141
10005,2024-09-19,C0335,Electronics ,1853.0,2,3706
10006,2024-08-28,C0234,Electronics ,7418.0,2,14836
10007,2024-08-23,ID_229,Beauty,9418.0,2,18836
10008,18/07/2024,ID_232,Electronics ,,4,33004
10009,2024-06-24,C0232,Clothing,8145.0,1,8145
10010,2024-06-21,C0074,Home,2100.0,3,6300
10011,2024-06-28,C0344,Home,5234.0,1,5234
10012,26/06/2024,C0251,BOOKS,2087.0,4,8348
10013,2024-08-16,C0018,Clothing,1256.0,3,3768
10014,2024-08-05,ID_230,Beauty,6216.0,1,6216
10015,01/07/2024,ID_259,Clothing,1499.0,1,1499
10016,2024-09-16,C0359,Beauty,4427.0,3,13281
10017,25/08/2024,ID_141,Home,6447.0,4,25788
10018,2024-06-25,ID_343,Clothing,3172.0,4,12688
10019,2024-09-20,ID_338,Beauty,9338.0,1,9338
10020,2024-08-31,ID_080,Home,6326.0,2,12652
10021,26/07/2024,ID_326,BOOKS,737.0,1,737
10022,2024-09-12,C0044,BOOKS,,2,5660
10023,2024-07-24,C0041,Home,132.0,3,396
10024,2024-06-18,ID_358,Beauty,8348.0,1,8348
10025,2024-07-25,C0073,BOOKS,4288.0,1,4288
10026,2024-07-17,ID_059,BOOKS,6768.0,2,13536
10027,2024-06-04,C0018,BOOKS,,1,6158
10028,2024-07-29,ID_120,Clothing,1158.0,4,4632
10029,2024-06-27,ID_152,Home,8588.0,4,34352
10030,2024-06-13,ID_243,Clothing,9171.0,1,9171
10031,2024-08-13,C0301,Clothing,4243.0,1,4243
10032,09/09/2024,ID_115,Clothing,3826.0,3,11478
10033,2024-07-16,ID_237,Home,6029.0,4,24116
10034,2024-08-29,ID_355,Beauty,6490.0,4,25960
10035,2024-09-24,C0047,Clothing,9794.0,4,39176
10036,2024-08-20,C0093,Home,2447.0,3,7341
10037,2024-08-01,C0141,BOOKS,690.0,2,1380
10038,19/06/2024,ID_375,Clothing,726.0,4,2904
10039,2024-08-06,C0130,Home,8887.0,3,26661
10040,2024-09-29,C0298,BOOKS,1571.0,4,6284
10041,12/09/2024,ID_140,Home,4968.0,1,4968
10042,2024-09-13,ID_152,Home,2545.0,4,10180
10043,2024-08-27,C0291,Home,6809.0,3,20427
10044,22/06/2024,C0005,Home,2518.0,4,10072
10045,2024-06-29,ID_062,Beauty,4542.0,4,18168
10046,2024-06-17,ID_104,Beauty,6782.0,1,6782
10047,2024-08-05,ID_305,BOOKS,434.0,4,1736
10048,2024-06-29,C0048,Beauty,8216.0,4,32864
10049,2024-06-22,C0187,Clothing,1413.0,4,5652
10050,2024-07-25,ID_213,BOOKS,3331.0,3,9993
10051,2024-06-10,ID_335,Beauty,1596.0,3,4788
10052,2024-09-28,ID_019,Home,3477.0,2,6954
10053,2024-08-07,C0155,BOOKS,2579.0,2,5158
10054,2024-08-31,ID_264,Electronics ,1117.0,2,2234
10055,2024-08-25,ID_186,Clothing,8803.0,1,8803
10056,2024-08-05,C0072,Electronics ,5251.0,3,15753
10057,19/09/2024,ID_108,BOOKS,5357.0,3,16071
10058,2024-06-12,ID_263,Home,9181.0,1,9181
10059,2024-09-26,ID_335,Electronics ,9109.0,4,36436
10060,2024-08-25,C0188,Clothing,5589.0,2,11178
10061,2024-07-31,C0092,Home,151.0,4,604
10062,2024-08-28,ID_051,Beauty,6501.0,2,13002
10063,2024-08-17,ID_360,Home,822.0,2,1644
10064,27/09/2024,C0375,Beauty,3858.0,4,15432
10065,2024-09-01,C0023,Clothing,4696.0,4,18784
10066,2024-06-05,C0326,Beauty,,1,9558
10067,2024-08-07,C0135,Electronics ,1956.0,3,5868
10068,2024-09-18,C0195,Clothing,3086.0,4,12344
10069,2024-07-29,C0207,Clothing,1591.0,3,4773
10070,2024-07-25,ID_369,Clothing,1447.0,1,1447
10071,2024-06-17,C0270,Clothing,6691.0,3,20073
10072,2024-08-02,ID_229,Home,6502.0,4,26008
10073,2024-07-13,C0243,BOOKS,9870.0,4,39480
10074,2024-07-15,C0001,Clothing,,3,19926
10075,12/09/2024,ID_309,Beauty,6358.0,1,6358
10076,2024-08-28,C0130,Home,2595.0,3,7785
10077,2024-08-29,ID_109,Beauty,2699.0,3,8097
10078,2024-09-28,C0339,BOOKS,1382.0,3,4146
10079,21/08/2024,ID_161,Home,730.0,3,2190
10080,2024-09-09,C0328,Clothing,1787.0,2,3574
10081,02/06/2024,ID_078,BOOKS,1173.0,2,2346
10082,2024-06-01,ID_109,Home,5680.0,3,17040
10083,2024-08-08,C0266,Home,5926.0,2,11852
10084,2024-06-12,ID_150,Home,9673.0,4,38692
10085,08/08/2024,ID_359,Electronics ,7632.0,1,7632
10086,2024-06-12,ID_074,Beauty,2495.0,3,7485
10087,2024-08-19,C0044,N/A,8687.0,2,17374
10088,2024-06-23,C0041,BOOKS,7044.0,2,14088
10089,2024-06-21,ID_370,Beauty,1677.0,3,5031
10090,2024-06-01,C0327,Home,3233.0,2,6466
10091,2024-08-30,C0324,Beauty,5046.0,3,15138
10092,2024-08-04,ID_125,Clothing,3457.0,3,10371
10093,2024-08-12,ID_204,N/A,2571.0,4,10284
10094,2024-07-17,C0153,N/A,5380.0,1,5380
10095,10/07/2024,C0002,Clothing,7503.0,3,22509
10096,02/09/2024,ID_013,Clothing,9990.0,3,29970
10097,2024-07-28,ID_241,Clothing,2115.0,2,4230
10098,2024-09-22,ID_284,Electronics ,8871.0,3,26613
10099,2024-09-13,ID_175,BOOKS,7168.0,2,14336
10100,2024-06-29,C0189,Home,,1,1602
10101,2024-07-17,ID_022,Home,1863.0,4,7452
10102,10/07/2024,ID_367,Home,9216.0,4,36864
10103,2024-08-13,ID_156,Clothing,1504.0,3,4512
10104,30/09/2024,ID_077,BOOKS,4395.0,3,13185
10105,2024-06-29,C0367,Home,2972.0,3,8916
10106,2024-07-10,C0174,Beauty,3961.0,4,15844
10107,2024-08-15,C0145,Beauty,9094.0,1,9094
10108,2024-09-29,ID_191,Electronics ,2724.0,1,2724
10109,2024-06-30,ID_211,Electronics ,3073.0,4,12292
10110,2024-06-05,ID_228,Clothing,2718.0,1,2718
10111,2024-09-26,C0292,Clothing,2944.0,2,5888
10112,2024-07-16,C0293,Clothing,8494.0,2,16988
10113,01/08/2024,C0372,Electronics ,4455.0,4,17820
10114,2024-07-14,C0108,Home,741.0,3,2223
10115,2024-06-29,C0249,BOOKS,7205.0,4,28820
10116,2024-08-04,C0362,Home,4997.0,4,19988
10117,06/07/2024,C0236,Clothing,8516.0,2,17032
10118,2024-09-12,ID_301,Home,9862.0,3,29586
10119,2024-07-12,ID_259,Clothing,9622.0,4,38488
10120,22/08/2024,ID_218,Electronics ,3312.0,4,13248
10121,2024-09-06,C0061,Electronics ,1651.0,3,4953
10122,2024-06-19,C0213,Home,9485.0,2,18970
